"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Sep 14, 2021","2021.4905",France,,"Cockles / Coques","Bivalve molluscs and products thereof","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 14, 2021","2021.4904",Cyprus,Spain,"Fish feed","Compound feeds","DNA ruminant - presence of - TSEs",TSEs
"Sep 14, 2021","2021.4903",Netherlands,Netherlands,"Vegetable mix","Fruits and vegetables",,
"Sep 14, 2021","2021.4901",France,France,Moules,"Bivalve molluscs and products thereof","Escherichia coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 14, 2021","2021.4899",Italy,Georgia,"Hazelnut kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 14, 2021","2021.4897",France,France,"SAUMON FUME / SMOKED SALMON","Fish and products thereof","n/a","n/a"
"Sep 14, 2021","2021.4896",France,France,"Petit pot de Crème au Café","Milk and milk products",,
"Sep 13, 2021","2021.4894",Poland,Poland,"Chicken meat","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 13, 2021","2021.4893",Sweden,"unknown origin","Muffin mix","Cereals and bakery products",,
"Sep 13, 2021","2021.4892",Italy,Italy,"Cefalo (Liza ramada)//Mullet (Liza ramada)","Fish and products thereof","Lead - heavy metals","Heavy metals"
"Sep 13, 2021","2021.4891",Germany,India,"Drumsticks (Moringa oleifera)","Fruits and vegetables","Monocrotophos - unauthorised substance - pesticide residues","Pesticide residues"
"Sep 13, 2021","2021.4890",Belgium,"France; India","Food supplement","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 13, 2021","2021.4889",Germany,"South Korea","Instant noodles","Prepared dishes and snacks","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 13, 2021","2021.4888",Belgium,China,"Equisetum arvense","Feed materials","Arsenic - heavy metals","Heavy metals"
"Sep 13, 2021","2021.4887",Germany,Germany,"Rapeseed meal","Feed materials","Salmonella ouakam - pathogenic micro-organisms; Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Sep 13, 2021","2021.4886",Italy,Albania,"Pomodori ""ciliegia""","Fruits and vegetables","Buprofezin - pesticide residues","Pesticide residues"
"Sep 13, 2021","2021.4885",Finland,Portugal,Rice,"Cereals and bakery products","Arsenic - heavy metals; Arsenic - heavy metals","Heavy metals; Heavy metals"
"Sep 13, 2021","2021.4884",Germany,"Türkiye","Mixed pickles","Fruits and vegetables","Tree nut - undeclared - allergens",Allergens
"Sep 13, 2021","2021.4882",Belgium,France,"Cooked turkey meat product","Poultry meat and poultry meat products","Caffeine - high content of - food additives and flavourings","Food additives and flavourings"
"Sep 13, 2021","2021.4880",Italy,Georgia,"Shelled and in shell hazelnuts","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 13, 2021","2021.4879",Poland,Poland,Eggs,"Eggs and egg products","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 13, 2021","2021.4877",Spain,Taiwan,"COMPOSTABLE CUP FOR COLD DRINK 473 MLT/16 OZ","Food contact materials",,
"Sep 13, 2021","2021.4872",Germany,"Türkiye","Vine leaves cooked and salted","Fruits and vegetables","Nicotine - pesticide residues; Metalaxyl - pesticide residues; Dithiocarbamates - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Sep 13, 2021","2021.4871",Belgium,"Egypt; Türkiye","Fennel seeds and anise","Herbs and spices","n/a; Chlorpyrifos-methyl - pesticide residues; n/a","n/a; Pesticide residues; n/a"
"Sep 13, 2021","2021.4870",Germany,India,"Organic Bacopa Monnieri (Brahmi) powder","Other food product / mixed","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 12, 2021","2021.4869",Bulgaria,"Türkiye","FRESH PEPPER","Fruits and vegetables","Acetamiprid - pesticide residues","Pesticide residues"
"Sep 10, 2021","2021.4868",Netherlands,Netherlands,"Pure Macademia Nuts","Nuts, nut products and seeds",,
"Sep 10, 2021","2021.4863",Slovenia,"Germany; Slovenia","Milk bar","Cereals and bakery products",,
"Sep 10, 2021","2021.4860",Germany,Egypt,"Organic marjoram","Herbs and spices","Perchlorate - industrial contaminants","Industrial contaminants"
"Sep 10, 2021","2021.4858",Italy,Georgia,"Shelled hazelnuts","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 10, 2021","2021.4857",Germany,China,"Instant noodles","Prepared dishes and snacks","2-chloroethanol - pesticide residues","Pesticide residues"
"Sep 10, 2021","2021.4856",Germany,China,"Children's tableware set, 5 pieces","Food contact materials",,
"Sep 10, 2021","2021.4854",Germany,Ukraine,"Instant noodles","Prepared dishes and snacks","2-chloroethanol - pesticide residues; 2-chloroethanol - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 10, 2021","2021.4853",Norway,Norway,Feed,"Pet food",,
"Sep 10, 2021","2021.4852",Spain,Germany,"Frozen chicken nuggets","Poultry meat and poultry meat products","Escherichia coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 10, 2021","2021.4851",Germany,China,"Noodle ready meal","Prepared dishes and snacks","2-chloroethanol - pesticide residues","Pesticide residues"
"Sep 10, 2021","2021.4843",Netherlands,"United States",Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Sep 10, 2021","2021.4841",Italy,Spain,"Filone di tonno a pinne gialle decongelato","Fish and products thereof","E 300 - ascorbic acid - unauthorised - food additives and flavourings","Food additives and flavourings"
"Sep 10, 2021","2021.4839",Poland,Poland,"Chicken meat,fresh","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 10, 2021","2021.4837",Netherlands,Netherlands,"Wok sauce","Soups, broths, sauces and condiments",,
"Sep 10, 2021","2021.4835",Norway,"United Kingdom","Food supplement","Dietetic foods, food supplements and fortified foods",,
"Sep 10, 2021","2021.4834",Italy,Spain,"Mitili (mytilus galloprovincialis)","Bivalve molluscs and products thereof","Diarrhoeic Shellfish Poisoning (DSP) toxins okadaic acid - biotoxins (other)","Biotoxins (other)"
"Sep 10, 2021","2021.4833",Norway,Norway,"Dried spices for sauce","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 10, 2021","2021.4832",Germany,"Germany; India","Nahrungsergänzungsmittel - food supplement","Dietetic foods, food supplements and fortified foods","Benzo(a)pyrene - industrial contaminants; Polycyclic aromatic hydrocarbons sum of - industrial contaminants","Industrial contaminants; Industrial contaminants"
"Sep 9, 2021","2021.4831",Germany,Luxembourg,"Dog chews (bovine rumen)","Feed materials","n/a; n/a","n/a; n/a"
"Sep 9, 2021","2021.4829",Spain,Germany,"FOOD SUPPLEMENT","Dietetic foods, food supplements and fortified foods",,
"Sep 9, 2021","2021.4828",Denmark,Iceland,"Seaweed meal","Feed materials","Cadmium - heavy metals","Heavy metals"
"Sep 9, 2021","2021.4826",Poland,China,"Chochla Florina CHOCHLA SMART-MULTI","Food contact materials","Primary aromatic amines - migration of - migration",Migration
"Sep 9, 2021","2021.4825",Netherlands,Brazil,"Black pepper","Herbs and spices","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 9, 2021","2021.4823",Bulgaria,"Türkiye","FRESH PEPPER","Fruits and vegetables","Flonicamid - pesticide residues","Pesticide residues"
"Sep 9, 2021","2021.4821",Netherlands,Egypt,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 9, 2021","2021.4819",Netherlands,Brazil,"Black pepper","Herbs and spices","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 9, 2021","2021.4818",Germany,Brazil,"Black pepper","Herbs and spices","Salmonella Javiana - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 9, 2021","2021.4815",Greece,"Türkiye","SWEET PEPPERS","Fruits and vegetables","Organoleptic characteristics altered - organoleptic aspects","Organoleptic aspects"
"Sep 8, 2021","2021.4814",Latvia,Russia,"Mixture of spices, herbs and additives","Herbs and spices","Sudan 1 - unauthorised colour - composition",Composition
"Sep 8, 2021","2021.4813",Germany,"unknown origin","Coffee mug, 340 ml","Food contact materials",,
"Sep 8, 2021","2021.4812",Switzerland,"Türkiye","Uludag Frutti Mandarine Extra","Natural mineral waters","Boron - too high content of - composition; Boron - too high content of - composition","Composition; Composition"
"Sep 8, 2021","2021.4811",Germany,China,"Children's bamboo tableware","Food contact materials",,
"Sep 8, 2021","2021.4810",France,Poland,"Frozen cooked minced chicken","Poultry meat and poultry meat products","Campylobacter - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 8, 2021","2021.4808",Switzerland,"Germany; Türkiye","Uludag Frutti Honigmelone Extra","Natural mineral waters","Boron - too high content of - composition; Boron - too high content of - composition; Boron - too high content of - composition","Composition; Composition; Composition"
"Sep 8, 2021","2021.4807",Germany,"unknown origin","Bamboo cup with silicone lid and handle","Food contact materials",,
"Sep 8, 2021","2021.4806",Denmark,Taiwan,"Mini jelly cups",Confectionery,,
"Sep 8, 2021","2021.4805",Germany,"unknown origin","Bamboo bowls","Food contact materials",,
"Sep 8, 2021","2021.4804",Norway,"Denmark; Norway; Sweden","Dry spices and dry mixes for dressing and sauces","Herbs and spices",,
"Sep 8, 2021","2021.4803",France,,"Raw and processed chicken cuts","Poultry meat and poultry meat products","Salmonella typhimurium monophasic 4, 5:i - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 8, 2021","2021.4802",Germany,"unknown origin","Bamboo drinking cup with silicone lid and sleeve","Food contact materials",,
"Sep 8, 2021","2021.4799",Germany,"unknown origin","Children bamboo tableware","Food contact materials",,
"Sep 8, 2021","2021.4798",Poland,Poland,"Poultry meat","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 8, 2021","2021.4797",Netherlands,"Netherlands; United Kingdom","Ginger Root Extract 5%","Food additives and flavourings","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 8, 2021","2021.4795",Belgium,France,Sardines,"Fish and products thereof","Histamine - biocontaminants",Biocontaminants
"Sep 8, 2021","2021.4793",Denmark,Sweden,"Food supplements containing Withania Somnifera","Dietetic foods, food supplements and fortified foods",,
"Sep 8, 2021","2021.4792",Estonia,Hungary,"Frozen duck halved breast fillet","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 8, 2021","2021.4790",Germany,Brazil,"Black pepper","Herbs and spices","Salmonella Freetown - pathogenic micro-organisms; Salmonella Rubislaw - pathogenic micro-organisms; Salmonella Minnesota - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms"
"Sep 8, 2021","2021.4789",Germany,"unknown origin","5 piece set children's bamboo fiber tableware","Food contact materials",,
"Sep 7, 2021","2021.4784",France,Vietnam,"Frozen frog legs","Fish and products thereof","Nitrofuran (metabolite) furazolidone (AOZ) - prohibited substance - residues of veterinary medicinal products","Residues of veterinary medicinal products"
"Sep 7, 2021","2021.4783",Belgium,France,Trout,"Fish and products thereof","Histamine - biocontaminants",Biocontaminants
"Sep 7, 2021","2021.4782",Germany,Germany,"Ergänzungsfuttermittel für Katzen - Supplementary feed for cats","Feed materials","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 7, 2021","2021.4781",Poland,Poland,"Poultry meat","Poultry meat and poultry meat products","Salmonella Kentucky - pathogenic micro-organisms; Salmonella Newport - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Sep 7, 2021","2021.4780",Netherlands,Spain,Swordfish,"Fish and products thereof","Mercury - heavy metals","Heavy metals"
"Sep 7, 2021","2021.4778","Czech Republic",,"CBD full spectrum oil 10%","Dietetic foods, food supplements and fortified foods","Tetrahydrocanabinol (THC) - biocontaminants",Biocontaminants
"Sep 7, 2021","2021.4776",Germany,India,"Litopenaeus vannamei from aquaculture","Crustaceans and products thereof","Nitrofuran (metabolite) furazolidone (AOZ) - prohibited substance - residues of veterinary medicinal products","Residues of veterinary medicinal products"
"Sep 7, 2021","2021.4775",Germany,Poland,"Butterkekse - butter cookies","Cereals and bakery products","3-monochlor-1,2-propanediol (3-MCPD) - industrial contaminants","Industrial contaminants"
"Sep 7, 2021","2021.4773",Germany,Spain,"Compound feed for fish","Feed materials","Ethoxyquin - composition",Composition
"Sep 7, 2021","2021.4772",Germany,Germany,"Finger food plates","Food contact materials","3-monochlor-1,2-propanediol (3-MCPD) - industrial contaminants","Industrial contaminants"
"Sep 7, 2021","2021.4770",Netherlands,Brazil,Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Sep 7, 2021","2021.4767",Sweden,"United Kingdom","Food supplements","Dietetic foods, food supplements and fortified foods",,
"Sep 7, 2021","2021.4765",Greece,Spain,Biscuits,"Cereals and bakery products",,
"Sep 7, 2021","2021.4764",France,"China; France","Acid protease","Food additives and flavourings","Genetically modified - GMO / novel food","GMO / novel food"
"Sep 7, 2021","2021.4762",Finland,,"Precut fresh salad products","Fruits and vegetables",,
"Sep 7, 2021","2021.4761",Norway,Vietnam,Pomelo,"Fruits and vegetables","Propargite - pesticide residues; Fenobcarb - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 6, 2021","2021.4755",Germany,India,"Sesame seeds","Nuts, nut products and seeds","Salmonella Senftenberg - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 6, 2021","2021.4753",Germany,Syria,"Pickled vine leaves","Other food product / mixed","Carbendazim - unauthorised substance - pesticide residues; n/a; Teflubenzuron - pesticide residues","Pesticide residues; n/a; Pesticide residues"
"Sep 6, 2021","2021.4752",Latvia,Poland,"Boneless chicken hams without skin","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 6, 2021","2021.4751",France,Spain,"Chicken eggs","Eggs and egg products",,
"Sep 6, 2021","2021.4748",Germany,China,"Green Tea","Cocoa and cocoa preparations, coffee and tea","Tolfenpyrad - pesticide residues","Pesticide residues"
"Sep 6, 2021","2021.4747",Slovenia,Croatia,"Bakalar na belo","Fish and products thereof","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 6, 2021","2021.4506",Ireland,Italy,"Giovanni Di Firenze Mediterranean Sea Salt 90g and Giovanni Di Firenze Pink Himalayan Salt Mill 90g","Soups, broths, sauces and condiments","Particles plastic - foreign bodies","Foreign bodies"
"Sep 6, 2021","2021.4311",Spain,"United States","TESTO PUNCH","Dietetic foods, food supplements and fortified foods",,
"Sep 3, 2021","2021.4740",Belgium,"Belgium; Germany","Additive (mix of locust bean gum and guar gum)","Food additives and flavourings","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 3, 2021","2021.4739",Sweden,"France; India","Food supplements","Dietetic foods, food supplements and fortified foods",,
"Sep 3, 2021","2021.4737",Belgium,India,"Manganese sulphate monohydrate","Feed additives","Cadmium - heavy metals","Heavy metals"
"Sep 3, 2021","2021.4736",France,Italy,"BURRATA DI BUFALA 125G DOP MPG","Milk and milk products","Escherichia coli - too high count of - pathogenic micro-organisms; Escherichia coli - potentially pathogenic - biocontaminants","Pathogenic micro-organisms; Biocontaminants"
"Sep 3, 2021","2021.4735",Poland,Poland,"HI TEC NUTRITION Power Guarana","Dietetic foods, food supplements and fortified foods","Caffeine - high content of - food additives and flavourings","Food additives and flavourings"
"Sep 3, 2021","2021.4734",Germany,"United States",Pistachios,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 3, 2021","2021.4733",Estonia,Lithuania,"Drinking water Rimi Basic still 5l","Water for human consumption (other)","Microbiological contamination - non-pathogenic micro-organisms","Non-pathogenic micro-organisms"
"Sep 3, 2021","2021.4732",Spain,Mexico,"Frozen hake","Fish and products thereof",,
"Sep 3, 2021","2021.4731",Spain,China,Te,"Herbs and spices","Pesticide residues - pesticide residues","Pesticide residues"
"Sep 3, 2021","2021.4730",Spain,Chile,"Frozen jumbo squid fillet","Cephalopods and products thereof",,
"Sep 3, 2021","2021.4729",Poland,Poland,"Chicken meat,fresh","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms; Salmonella Newport - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Sep 3, 2021","2021.4728",Finland,China,"Take away mug","Food contact materials","Illegal use - not determined (other)","Not determined (other)"
"Sep 3, 2021","2021.4725",Germany,India,"Organic soybean expeller","Feed materials","Salmonella Korlebu - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 3, 2021","2021.4723",Belgium,Germany,"Soybean meal","Feed materials","Salmonella Senftenberg - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 3, 2021","2021.4722",Italy,"France; Italy; Switzerland; Türkiye","Frozen broccoli and potato gratin","Other food product / mixed","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 3, 2021","2021.4721",Netherlands,India,"GROUNDNUT KERNELS","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Sep 3, 2021","2021.4720",Belgium,Netherlands,"Food supplement","Dietetic foods, food supplements and fortified foods",,
"Sep 3, 2021","2021.4719",Germany,"Germany; India; Spain; United States","Iron capsules","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 3, 2021","2021.4718",Germany,Poland,Cucumbers,"Fruits and vegetables","Dichlorvos - unauthorised substance - pesticide residues","Pesticide residues"
"Sep 3, 2021","2021.4716",Lithuania,,"Chocolate candies",Confectionery,"Trans fatty acids - too high content of - composition",Composition
"Sep 3, 2021","2021.4715",Netherlands,Netherlands,"Partyeck 250 gr ZAV","Cereals and bakery products",,
"Sep 3, 2021","2021.4714",Belgium,Netherlands,"Poultry meat meal","Feed materials","Salmonella Mbandaka - pathogenic micro-organisms","Pathogenic micro-organisms"
"Sep 3, 2021","2021.4708",Belgium,Netherlands,"Food supplement","Dietetic foods, food supplements and fortified foods",,
"Sep 3, 2021","2021.4707",Belgium,"United Kingdom","Food supplement","Dietetic foods, food supplements and fortified foods",,
"Sep 2, 2021","2021.4705",Lithuania,Poland,"Biscuit cookies with jelly (35%) and glaze (13%)","Cereals and bakery products","Trans fatty acids - too high content of - composition",Composition
"Sep 2, 2021","2021.4704","Czech Republic",Poland,"Fresh celery root (celer)","Fruits and vegetables","Cadmium - heavy metals","Heavy metals"
"Sep 2, 2021","2021.4703",Lithuania,"United Kingdom","Quinoa and kale corn puffs","Cereals and bakery products",,
"Sep 2, 2021","2021.4702",Germany,"France; Germany; Lithuania; Spain","Bamboo shoot extract","Other food product / mixed","Ethylene oxide - pesticide residues; Ethylene oxide - pesticide residues; 2-chloroethanol - pesticide residues; 2-chloroethanol - pesticide residues; 2-chloroethanol - pesticide residues; 2-chloroethanol - pesticide residues; 2-chloroethanol - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Sep 2, 2021","2021.4701",Belgium,Netherlands,"Food supplement","Dietetic foods, food supplements and fortified foods",,
"Sep 2, 2021","2021.4700",Netherlands,"Germany; Uzbekistan","Dilletoppen- dill tips","Herbs and spices","Chrysene - industrial contaminants; Polycyclic aromatic hydrocarbons sum of - industrial contaminants","Industrial contaminants; Industrial contaminants"
"Sep 2, 2021","2021.4699",Spain,Algeria,"Gamba roja (Aristeus antennatus) y Cigala (Nephrops norvegicus)","Crustaceans and products thereof","Sulphite - too high content of - food additives and flavourings; Sulphite - too high content of - food additives and flavourings","Food additives and flavourings; Food additives and flavourings"
"Sep 2, 2021","2021.4698",Lithuania,Ukraine,"Chocolate candies","Cocoa and cocoa preparations, coffee and tea","Trans fatty acids - too high content of - composition",Composition
"Sep 2, 2021","2021.4697",Lithuania,China,"Jelly candy",Confectionery,,
"Sep 2, 2021","2021.4696",Netherlands,Netherlands,"Hot dog","Meat and meat products (other than poultry)",,
"Sep 2, 2021","2021.4694",Netherlands,"Germany; Netherlands","Locust bean gum","Food additives and flavourings","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 2, 2021","2021.4693",France,"France; Spain","Frozen shelled scallops (Chlamys opercularis)","Bivalve molluscs and products thereof","Cadmium - heavy metals; Cadmium - heavy metals","Heavy metals; Heavy metals"
"Sep 2, 2021","2021.4692",Germany,India,"Asparagus beans (Vigna unguiculata)","Fruits and vegetables","n/a; Profenofos - unauthorised substance - pesticide residues","n/a; Pesticide residues"
"Sep 2, 2021","2021.4691",Germany,India,"Fenugreek leaves","Herbs and spices","n/a; Thiamethoxam - pesticide residues; Kresoxim-methyl - pesticide residues","n/a; Pesticide residues; Pesticide residues"
"Sep 2, 2021","2021.4690",Germany,India,"Ingwerpulver - ginger powder","Herbs and spices","Ethylene oxide - pesticide residues","Pesticide residues"
"Sep 2, 2021","2021.4689",Romania,"Türkiye","Lamai/ fresh lemons","Fruits and vegetables","Prochloraz - pesticide residues","Pesticide residues"
"Sep 2, 2021","2021.4687",Poland,China,"Frozen strawberries","Fruits and vegetables","Iprodione - pesticide residues; Procymidone - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 2, 2021","2021.4685",Romania,"Türkiye","Lamai/lemons","Fruits and vegetables","Prochloraz - pesticide residues","Pesticide residues"
"Sep 2, 2021","2021.4684",Germany,"United States","Pistachios in shell","Nuts, nut products and seeds","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Sep 2, 2021","2021.4683",Poland,China,"5 piece bamboo tableware set","Food contact materials",,
"Sep 2, 2021","2021.4682",Slovenia,"Türkiye",Lemons,"Fruits and vegetables","Chlorpyrifos-methyl - pesticide residues","Pesticide residues"
"Sep 2, 2021","2021.4681",Spain,China,"ROLLITOS DE PRIMAVERA","Other food product / mixed",,
"Sep 2, 2021","2021.4680",Poland,Ukraine,"Frozen raspberries","Fruits and vegetables","Moulds - infested with - non-pathogenic micro-organisms","Non-pathogenic micro-organisms"
"Sep 2, 2021","2021.4679",Netherlands,"Sri Lanka",Tuna,"Fish and products thereof",,
"Sep 2, 2021","2021.4678",Poland,China,"Plastic water bottle (PP + wheat straw)","Food contact materials",,
"Sep 2, 2021","2021.4677",Poland,Nigeria,"Sesame seed","Nuts, nut products and seeds",,
"Sep 2, 2021","2021.4676",Spain,Argentina,"Pleoticus muelleri","Crustaceans and products thereof",,
"Sep 2, 2021","2021.4675",Spain,Argentina,"PLEOTICUS MUELLERI","Crustaceans and products thereof",,
"Sep 2, 2021","2021.4672",Italy,Italy,"Formaggio a latte vaccino pastorizzato","Milk and milk products",,
"Sep 1, 2021","2021.4668",Germany,"France; India; Italy; Netherlands; Poland; Spain","Bamboo extract","Dietetic foods, food supplements and fortified foods","2-chloroethanol - pesticide residues; Ethylene oxide - pesticide residues; 2-chloroethanol - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Sep 1, 2021","2021.4667",Germany,"Czech Republic","Protein bar",Confectionery,,
"Sep 1, 2021","2021.4666",Germany,Austria,"Hemp tea","Non-alcoholic beverages",,
"Sep 1, 2021","2021.4663",Italy,Italy,"Thickening powder","Food additives and flavourings",,
"Sep 1, 2021","2021.4662",Poland,China,"Nylon kitchen utensil set of 4 pieces (ladle, spoon, colander, spatula)","Food contact materials","Primary aromatic amines - migration of - migration",Migration
"Sep 1, 2021","2021.4660",Poland,"United States","Food supplements","Dietetic foods, food supplements and fortified foods",,
"Sep 1, 2021","2021.4659",Germany,"Czech Republic","Cannabis Cookies",Confectionery,,
"Sep 1, 2021","2021.4658",Spain,Ecuador,Plantain,"Fruits and vegetables","Imazalil - pesticide residues; Imazalil - pesticide residues","Pesticide residues; Pesticide residues"
"Sep 1, 2021","2021.4657",Spain,Argentina,"Pleoticus muelleri","Crustaceans and products thereof",,
"Sep 1, 2021","2021.4656",Romania,"Türkiye","Lamai/ fresh lemons","Fruits and vegetables","Prochloraz - pesticide residues","Pesticide residues"
"Sep 1, 2021","2021.4655",Germany,"Czech Republic","Hemp tea","Non-alcoholic beverages",,
"Sep 1, 2021","2021.4654",Poland,"South Africa",Grapefruit,"Fruits and vegetables","Bromopropylate - pesticide residues","Pesticide residues"
"Sep 1, 2021","2021.4653",Poland,Germany,"PREMIX 4 HC - feed premix for turkey","Feed premixtures","Monensin - feed additives; Zinc - too high content of - composition","Feed additives; Composition"
"Sep 1, 2021","2021.4651",Netherlands,India,"Groundnut Kernels","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Sep 1, 2021","2021.4647",Netherlands,Egypt,Oranges,"Fruits and vegetables","n/a","n/a"
"Sep 1, 2021","2021.4646",Germany,Brazil,"Black pepper","Herbs and spices","Salmonella Agona - pathogenic micro-organisms; Salmonella poona - pathogenic micro-organisms; Salmonella Matadi - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms; Pathogenic micro-organisms"
"Aug 31, 2021","2021.4644",Hungary,Ukraine,"Bakery product","Cereals and bakery products","n/a","n/a"
"Aug 31, 2021","2021.4643",Poland,China,"Patato masher","Food contact materials","Primary aromatic amines - migration of - migration",Migration
"Aug 31, 2021","2021.4642",Romania,Slovenia,"Mogota Hemp Tea 20pcs","Cocoa and cocoa preparations, coffee and tea","Tetrahydrocanabinol (THC) - biocontaminants; Cannabidiol (CBD) - unauthorised novel food ingredient - GMO / novel food","Biocontaminants; GMO / novel food"
"Aug 31, 2021","2021.4640",France,France,"Fresh salmon","Fish and products thereof","n/a","n/a"
"Aug 31, 2021","2021.4639",Belgium,Germany,"Plant extract","Other food product / mixed","Polycyclic aromatic hydrocarbons sum of - industrial contaminants","Industrial contaminants"
"Aug 31, 2021","2021.4638",Belgium,Italy,"Schär Speculoos Gluten-Free","Cereals and bakery products","Coumarin - too high content of - composition",Composition
"Aug 31, 2021","2021.4637",Sweden,"United Kingdom","Food supplement","Dietetic foods, food supplements and fortified foods",,
"Aug 31, 2021","2021.4636",Spain,Angola,"Plesiopenaeus edwardsianus","Crustaceans and products thereof",,
"Aug 31, 2021","2021.4635",Romania,Germany,"Bio Cold pressed hemp oil","Fats and oils","Tetrahydrocanabinol (THC) - biocontaminants; Cannabidiol (CBD) - unauthorised novel food ingredient - GMO / novel food","Biocontaminants; GMO / novel food"
"Aug 31, 2021","2021.4634",Poland,Poland,"Poultry meat, fresh","Poultry meat and poultry meat products","Salmonella Newport - pathogenic micro-organisms","Pathogenic micro-organisms"
"Aug 31, 2021","2021.4632",Netherlands,Netherlands,"Frozen marinated chicken meat preparation","Poultry meat and poultry meat products","Salmonella enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Aug 31, 2021","2021.4630",Germany,"Türkiye","Smoked trout fillets","Fish and products thereof","n/a","n/a"
"Aug 31, 2021","2021.4625",Poland,Poland,"Celery root - seler korzeniowy","Fruits and vegetables","Linuron - pesticide residues","Pesticide residues"
"Aug 31, 2021","2021.4621",Denmark,Germany,Flatbread,"Cereals and bakery products",,
"Aug 31, 2021","2021.4620",Netherlands,Indonesia,NUTMEG,"Herbs and spices","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
